"cycle","mean_gv"
0,4.91750737352525e-17
1,1.44481388306071
2,3.37714286401284
3,4.25903052400092
4,4.62673197527031
5,4.73317195659532
6,4.8538737290327
7,4.92669549196486
8,4.92669549196486
9,4.92669549196486
10,4.92669549196486
